secid	name	formula	floater	price	price_source	nkd	dirty	maturity	days	current_coupon	simple	xirr	moex_yield	amort_before_maturity	offers
RU000A10CC24	РусГидро БО-002Р-07	фикс 13.85%	False	98.8	OFFER	4.55	992.55	2028-07-26	678	14.018219	14.600566	15.603226	15.6	0	0
RU000A10D4D6	Минфин Амурской обл. 31002	фикс 16.75%	False	102.7	OFFER	28.45	1055.45	2027-10-17	395	16.30964	13.506399	14.75431	15.05	0	0
RU000A108GR8	Ростелеком ПАО 001P-07R	КС + 1.20 п.п.	True	100.19	OFFER	11.66	1013.56	2027-05-20	245	15.171175	14.717411	15.725283	15.25	0	0
RU000A10B933	Селигдар 001Р-03	фикс 23.25%	False	106.38	OFFER	10.83	1074.63	2027-09-25	373	21.855612	15.826134	17.719567	17.71	0	0
RU000A10D3X6	Селигдар 001Р-07	КС + 4.50 п.п.	True	101.53	OFFER	3.55	1018.85	2027-10-05	383	18.221215	16.726417	18.270392	17.67	0	0
RU000A1094F2	ГруппаЧеркизово БО-001Р-07	КС + 1.35 п.п.	True	100.35	OFFER	12.2	1015.7	2027-07-15	301	15.296462	14.694806	15.957722	15.48	0	0
RU000A10CWF7	ПГК 003Р-01	фикс 15.75%	False	100.65	OFFER	9.49	1015.99	2028-09-14	728	15.648286	15.187428	16.507455	16.51	0	0
RU000A10B8D9	ВЭБ.РФ ПБО-002Р-50	RUONIA_IND≈RUONIA + 2.30 п.п.	True	100.76	OFFER	32.63	1040.23	2027-04-06	201	15.750298	13.698248	14.903086	15.94	0	0
RU000A105054	ММЦБ ПАО БО-П01-02	фикс 14%	False	98.79	OFFER	19.56	1007.46	2027-01-26	131	14.171475	17.24369	18.212233	18.74	0	0
RU000A10C329	iПРОМОМЕД ДМ 002P-02	КС + 2.80 п.п.	True	100.99	OFFER	4.14	1014.04	2027-07-05	291	16.63531	15.343139	16.617106	16.12	0	0
RU000A10EF11	iПРОМОМЕД ДМ 002P-03	КС + 2.20 п.п.	True	100.47	OFFER	7.55	1012.25	2028-02-22	523	16.124216	15.679579	17.031323	16.84	0	0
RU000A104JQ3	ГК Самолет БО-П11	фикс 26%	False	94.26	OFFER	26.36	968.96	2028-02-08	509	27.58328	31.080292	33.692815	47.03	0	3
RU000A10ATW2	Балтийский лизинг ООО БО-П15	фикс 23.7%	False	95.5	OFFER	12.66	728.91	2028-02-13	514	24.816754	16.995221	34.95902	34.98	7	0
RU000A10B313	Брусника 002Р-05	фикс 21.75%	False	100.38	OFFER	4.17	1007.97	2028-03-03	533	21.667663	21.32396	23.688637	23.79	0	2
RU000A109LC8	РОЛЬФ БО 001Р-03	КС + 3.00 п.п.	True	97.12	OFFER	1.4	972.6	2027-09-09	357	17.504119	20.505852	22.264515	21.51	0	0
RU000A10B3Q2	Биннофарм Групп 001Р-05	фикс 19%	False	100.82	OFFER	2.6	1010.8	2028-03-05	535	18.845467	18.248043	19.990068	20.05	0	2
RU000A10B0J3	ДельтаЛизинг 001P-02	фикс 24%	False	105.45	OFFER	9.47	768.71	2028-02-19	520	22.759602	7.872905	17.053857	17.07	24	0
RU000A10AS28	Биннофарм Групп 001Р-04	фикс 19%	False	101.25	OFFER	9.37	1021.87	2028-01-22	492	18.765432	17.690258	19.506674	19.51	0	1
RU000A10E7K3	реСтор 001Р-03	фикс 18.75%	False	101.54	OFFER	6.68	1022.08	2028-01-27	497	18.465629	17.237081	18.938128	19.04	0	0
RU000A10A4N8	Интерлизинг 001Р-10	КС + 4.50 п.п.	True	101.5	PREVLEGALCLOSEPRICE/PREVPRICE	1.14	569.54	2027-11-07	416	18.226601	16.8961	34.845097	16.54	24	0
RU000A107D33	ВИС ФИНАНС БО-П05	КС + 4.50 п.п.	True	101.52	OFFER	3.55	1018.75	2027-12-09	448	18.22301	16.943482	18.222785	17.67	0	1
RU000A10EK06	"Сэтл-Групп" ООО БО 002P-07	фикс 16.5%	False	100.26	OFFER	2.26	1004.86	2028-03-05	535	16.457211	16.241682	17.572231	17.57	0	0
RU000A10DMN0	реСтор 001Р-02	фикс 18.85%	False	102.49	OFFER	10.33	1035.23	2027-11-21	430	18.392038	16.162861	17.812894	18.14	0	0
RU000A10C5L7	Селигдар 001Р-04	фикс 19%	False	103.24	OFFER	1.04	1033.44	2028-01-08	478	18.403719	15.995487	17.507923	17.51	0	0
RU000A10EAC6	КАМАЗ ПАО БО-П20	фикс 15.95%	False	99.9	OFFER	1.31	1000.31	2028-02-06	507	15.965966	16.017599	17.264329	17.26	0	0
RU000A0ZYWU3	АФК Система БО 001P-08	фикс 12%	False	95.7	OFFER	7.23	964.23	2028-02-23	524	12.539185	15.552664	16.032444	16.03	0	3
RU000A10ABC2	Новосибирская область 34026	КС + 4.50 п.п.	True	102.51	OFFER	4.61	722.18	2027-11-28	437	18.04702	15.899578	42.367107	13.52	3	0
RU000A10AC91	Республика Башкортостан 34014	фикс 23.75%	False	107.87	OFFER	4.39	813.415	2027-12-14	453	22.017243	8.743212	14.38762	14.39	4	0
RU000A0ZYQY7	АФК "Система" ПАО БО-001P-07	фикс 17.5%	False	99.66	OFFER	26.37	1022.97	2028-01-21	491	17.559703	17.354075	18.51571	19.14	0	6
RU000A109DV5	Интерлизинг 001Р-09	КС + 2.60 п.п.	True	99.95	OFFER	5.24	485.0	2027-08-19	336	16.608304	16.482664	36.311283	17.62	24	0
RU000A10B0Z9	ЭР-Телеком Холдинг ПБО-02-09	фикс 15.5%	False	99.19	OFFER	8.07	999.97	2028-02-20	521	15.626575	16.068188	17.38826	17.39	0	2
RU000A10DZK8	Полипласт АО П02-БО-13	фикс 19.45%	False	102.57	OFFER	13.32	1039.02	2027-12-16	455	18.96266	16.740056	18.565471	18.73	0	0
RU000A10DP93	КАМАЗ ПАО БО-П18	фикс 16.5%	False	100.54	OFFER	8.59	1013.99	2027-11-22	431	16.411379	15.819211	17.218416	17.22	0	0
RU000A105M91	Синара Транспортные Машины 1P3	фикс 18.5%	False	103.34	OFFER	3.04	1036.44	2027-12-10	449	17.902071	15.228675	16.381133	16.38	0	1
RU000A10CKZ0	ЕвразХолдинг Финанс 003P-04	фикс 13.9%	False	97.7	OFFER	9.9	986.9	2028-02-13	514	14.227226	15.733522	16.910625	16.92	0	0
RU000A10CQ77	КАМАЗ ПАО БО-П16	фикс 14.9%	False	99.59	OFFER	4.08	999.98	2027-09-02	350	14.961342	15.332392	16.496304	16.5	0	0
RU000A10DZU7	А101 БО-001Р-02	фикс 17%	False	101.2	OFFER	11.64	1023.64	2027-12-16	455	16.798419	15.664032	17.145739	17.15	0	0
RU000A10AHC9	РЕСО-Лизинг ООО БО-П-23	фикс 24.5%	False	102.99	OFFER	0.0	1029.9	2034-11-04	2970	23.788717	18.626234	23.774272	13.54	0	1
RU000A10EML2	ВТБ Лизинг 001Р-МБ-05	фикс 15.5%	False	101.18	OFFER	0.35	840.144	2029-03-04	899	15.319233	7.774952	15.496796	15.55	11	0
RU000A104Z48	ВЭБ.РФ ПБО-002Р-33	фикс 10.2%	False	96.56	OFFER	17.61	983.21	2027-07-15	301	10.56338	14.61622	15.269944	15.27	0	0
RU000A10AC75	Томская область 34072	фикс 26%	False	106.1	OFFER	15.49	811.24	2027-12-12	451	24.505184	7.743559	16.698214	16.72	3	0
RU000A1099E4	Мособлэнерго 001Р-01	КС + 1.40 п.п.	True	100.2	OFFER	3.38	1005.38	2029-07-25	1042	15.369261	15.247832	16.435538	15.99	0	2
