secid	name	rating	price_pct	price_source	coupon_pct	event_date	event_type	days_to_event	maturity	amortizations_before_event	current_coupon_yield_pct	simple_yield_to_event_pct	xirr_to_event_pct	moex_yield_pct	profit_per_bond_rub	num_trades	value_today
RU000A104JQ3	ГК Самолет БО-П11	A-	94.55	LAST	26.0	2027-02-12	PUT	149	2028-02-08	0	27.4987	39.7699	44.6849	45.62	157.78	1884	109892712
RU000A100QA0	ГК Самолет БО-П06	A-	86.57	LAST	18.75	2027-08-09	PUT	327	2029-08-01	0	21.6588	37.6193	41.9695	42.43	299.21	257	9033903
RU000A109874	ГК Самолет БО-П15	A-	87.0	LAST	17.0	2027-07-30	MATURITY	317	2027-07-30	1	19.5402	36.4071	40.4634	40.56	277.15	1720	12397494
RU000A107RZ0	ГК Самолет БО-П13	A-	95.23	LAST	21.0	2027-01-24	MATURITY	130	2027-01-24	1	22.0519	35.4957	41.5557	41.8	121.92	2182	154785474
RU000A10CZA1	ГК Самолет БО-П20	A-	99.56	LAST	21.25	2026-09-28	MATURITY	12	2026-09-28	1	21.3439	32.6629	38.3875	40.83	10.81	755	27376213
RU000A10E6U4	ГК Самолет БО-П19	A-	91.89	LAST	21.0	2027-08-02	PUT	320	2029-01-18	0	22.8534	32.1684	36.2469	36.76	261.75	699	6951870
RU000A106EM8	Балтийский лизинг ООО БО-П08	AA-	92.57	LAST	18.0	2027-05-06	CALL	232	2033-05-31	0	19.4447	31.529	35.4202	35.84	186.7	483	3763017
RU000A100Q50	ГК Самолет БО-П05	A-	98.4	LAST	19.0	2026-11-09	PUT	54	2029-07-31	0	19.3089	27.1673	30.6959	33.83	40.47	11	45521
RU000A0JWYJ0	Группа компаний "Самолет" 01	A-	99.72	LAST	26.0	2026-10-30	MATURITY	44	2026-10-30	1	26.073	26.8877	30.2925	31.04	33.43	358	9699178
RU000A107C75	Инвестиционные облигации 01	AA	99.0	LAST	0.01	2026-10-02	MATURITY	16	2026-10-02	1	0.0101	23.0406	25.7657	25.77	10.0	3	66330
RU000A10BGU1	Первое кол.бюро НАО 001Р-07	A-	102.07	LAST	24.5	2026-10-17	CALL	31	2028-04-09	0	24.0031	22.5863	25.6131	25.15	19.58	383	5362115
RU000A10AHE5	Новые технологии 001Р-02	A-	103.28	LAST	27.5	2026-12-16	MATURITY	91	2026-12-16	1	26.6266	22.3696	25.5068	14.97	57.6	226	3737646
RU000A10EC63	Брусника 002Р-06	A-	100.9	LAST	22.75	2028-02-18	PUT	520	2029-02-10	0	22.5471	21.4869	24.2186	24.37	313.26	445	7651597
RU000A10B313	Брусника 002Р-05	A-	100.21	LAST	21.75	2028-03-03	MATURITY	534	2028-03-03	1	21.7044	21.4355	23.797	23.85	315.57	610	11993897
RU000A102FS1	АФК Система БО 001P-16	A+	93.45	LAST	10.3	2027-06-03	PUT	260	2030-11-25	0	11.0219	20.5862	21.8244	22.01	137.74	129	5097406
RU000A101XN7	АФК Система БО 001P-14	A+	94.39	LAST	10.5	2027-04-19	PUT	215	2030-07-10	0	11.1241	20.5049	22.1849	22.54	116.23	838	20557430
RU000A100N12	АФК Система БО 001P-11	A+	92.99	LAST	10.9	2027-07-22	PUT	309	2029-07-16	0	11.7217	20.0936	21.112	21.28	161.18	370	4307908
RU000A103UR0	СберИОС 001Р-478R 5Г IMOEX	AAA	98.08	LAST	0.01	2026-10-23	MATURITY	37	2026-10-23	1	0.0102	19.4119	21.1954	0.0	19.3	1	981781
RU000A10AHC9	РЕСО-Лизинг ООО БО-П-23	AA-	102.9	LAST	24.5	2026-12-21	PUT	96	2034-11-04	0	23.8095	19.0511	21.3545	14.06	51.56	265	2833126
RU000A0ZYEB1	ТрансФин-М ПАО 001P-04	A	98.51	LAST	18.0	2027-04-20	CALL	216	2027-10-14	0	18.2723	18.8642	21.2208	21.78	118.45	71	882185
RU000A10B3Q2	Биннофарм Групп 001Р-05	A-	100.34	LAST	19.0	2028-03-05	MATURITY	536	2028-03-05	1	18.9356	18.6258	20.3868	0.0	275.16	672	32532505
RU000A103C95	АФК Система БО 001P-21	A+	98.93	LAST	17.5	2027-07-01	PUT	288	2031-06-23	0	17.6893	18.1115	19.5183	19.79	146.86	84	581993
RU000A102FT9	АФК Система БО 001P-17	A+	98.98	LAST	17.5	2027-06-03	PUT	260	2030-11-25	0	17.6803	17.9177	19.5581	19.86	132.94	171	2419434
RU000A1005L6	АФК Система БО 001P-09	A+	99.48	LAST	17.5	2027-03-01	PUT	166	2029-02-21	0	17.5915	17.9145	18.8436	19.55	81.91	150	1719279
RU000A0ZYQY7	АФК "Система" ПАО БО-001P-07	A+	99.53	LAST	17.5	2027-01-26	PUT	132	2028-01-21	0	17.5826	17.7519	18.8241	19.56	65.59	149	1952212
RU000A10AS28	Биннофарм Групп 001Р-04	A-	101.19	LAST	19.0	2028-01-22	MATURITY	493	2028-01-22	1	18.7766	17.7082	19.5166	19.57	244.27	499	18514937
RU000A10EE87	АФК Система БО 002Р-12	A+	99.5	LAST	17.5	2028-02-21	PUT	523	2031-02-01	0	17.5879	17.5795	19.2526	19.44	253.29	568	21577827
RU000A10CZC7	Аэрофьюэлз002Р-06	A	100.0	LAST	18.25	2027-10-04	MATURITY	383	2027-10-04	1	18.25	17.5614	19.4572	19.52	191.0	165	2176299
RU000A1055Y4	Почта России БО-002P-04	AA	93.06	LAST	9.25	2027-09-06	PUT	355	2032-08-25	0	9.9398	17.368	17.8666	18.04	157.84	165	5060007
RU000A10E7K3	реСтор 001Р-03	A-	101.49	LAST	18.75	2028-01-27	MATURITY	498	2028-01-27	1	18.4747	17.2468	18.9395	18.99	240.39	131	1580414
RU000A10C2E9	Аэрофьюэлз 002Р-05	A	101.43	LAST	19.75	2027-07-12	MATURITY	299	2027-07-12	1	19.4716	17.0843	18.951	19.03	146.95	291	5750418
