count	84
secid	name	rating	price_pct	coupon_pct	event_date	event_type	days_to_event	simple_yield_to_event_pct	xirr_to_event_pct	moex_yield_pct	num_trades	value_today
RU000A104JQ3	ГК Самолет БО-П11	A-	94.55	26.0	2027-02-12	PUT	149	39.7699	44.6849	45.62	1884	109892712
RU000A100QA0	ГК Самолет БО-П06	A-	86.57	18.75	2027-08-09	PUT	327	37.6193	41.9695	42.43	257	9033903
RU000A109874	ГК Самолет БО-П15	A-	87.0	17.0	2027-07-30	MATURITY	317	36.4071	40.4634	40.56	1720	12397494
RU000A107RZ0	ГК Самолет БО-П13	A-	95.23	21.0	2027-01-24	MATURITY	130	35.4957	41.5557	41.8	2182	154785474
RU000A10CZA1	ГК Самолет БО-П20	A-	99.56	21.25	2026-09-28	MATURITY	12	32.6629	38.3875	40.83	755	27376213
RU000A10E6U4	ГК Самолет БО-П19	A-	91.89	21.0	2027-08-02	PUT	320	32.1684	36.2469	36.76	699	6951870
RU000A106EM8	Балтийский лизинг ООО БО-П08	AA-	92.57	18.0	2027-05-06	CALL	232	31.529	35.4202	35.84	483	3763017
RU000A100Q50	ГК Самолет БО-П05	A-	98.4	19.0	2026-11-09	PUT	54	27.1673	30.6959	33.83	11	45521
RU000A0JWYJ0	Группа компаний "Самолет" 01	A-	99.72	26.0	2026-10-30	MATURITY	44	26.8877	30.2925	31.04	358	9699178
RU000A10BGU1	Первое кол.бюро НАО 001Р-07	A-	102.07	24.5	2026-10-17	CALL	31	22.5863	25.6131	25.15	383	5362115
RU000A10AHE5	Новые технологии 001Р-02	A-	103.28	27.5	2026-12-16	MATURITY	91	22.3696	25.5068	14.97	226	3737646
RU000A10EC63	Брусника 002Р-06	A-	100.9	22.75	2028-02-18	PUT	520	21.4869	24.2186	24.37	445	7651597
RU000A10B313	Брусника 002Р-05	A-	100.21	21.75	2028-03-03	MATURITY	534	21.4355	23.797	23.85	610	11993897
RU000A102FS1	АФК Система БО 001P-16	A+	93.45	10.3	2027-06-03	PUT	260	20.5862	21.8244	22.01	129	5097406
RU000A101XN7	АФК Система БО 001P-14	A+	94.39	10.5	2027-04-19	PUT	215	20.5049	22.1849	22.54	838	20557430
RU000A100N12	АФК Система БО 001P-11	A+	92.99	10.9	2027-07-22	PUT	309	20.0936	21.112	21.28	370	4307908
RU000A10AHC9	РЕСО-Лизинг ООО БО-П-23	AA-	102.9	24.5	2026-12-21	PUT	96	19.0511	21.3545	14.06	265	2833126
RU000A0ZYEB1	ТрансФин-М ПАО 001P-04	A	98.51	18.0	2027-04-20	CALL	216	18.8642	21.2208	21.78	71	882185
RU000A10B3Q2	Биннофарм Групп 001Р-05	A-	100.34	19.0	2028-03-05	MATURITY	536	18.6258	20.3868	0.0	672	32532505
RU000A103C95	АФК Система БО 001P-21	A+	98.93	17.5	2027-07-01	PUT	288	18.1115	19.5183	19.79	84	581993
RU000A102FT9	АФК Система БО 001P-17	A+	98.98	17.5	2027-06-03	PUT	260	17.9177	19.5581	19.86	171	2419434
RU000A1005L6	АФК Система БО 001P-09	A+	99.48	17.5	2027-03-01	PUT	166	17.9145	18.8436	19.55	150	1719279
RU000A0ZYQY7	АФК "Система" ПАО БО-001P-07	A+	99.53	17.5	2027-01-26	PUT	132	17.7519	18.8241	19.56	149	1952212
RU000A10AS28	Биннофарм Групп 001Р-04	A-	101.19	19.0	2028-01-22	MATURITY	493	17.7082	19.5166	19.57	499	18514937
RU000A10EE87	АФК Система БО 002Р-12	A+	99.5	17.5	2028-02-21	PUT	523	17.5795	19.2526	19.44	568	21577827
RU000A10CZC7	Аэрофьюэлз002Р-06	A	100.0	18.25	2027-10-04	MATURITY	383	17.5614	19.4572	19.52	165	2176299
RU000A1055Y4	Почта России БО-002P-04	AA	93.06	9.25	2027-09-06	PUT	355	17.368	17.8666	18.04	165	5060007
RU000A10E7K3	реСтор 001Р-03	A-	101.49	18.75	2028-01-27	MATURITY	498	17.2468	18.9395	18.99	131	1580414
RU000A10C2E9	Аэрофьюэлз 002Р-05	A	101.43	19.75	2027-07-12	MATURITY	299	17.0843	18.951	19.03	291	5750418
RU000A102SX4	АФК Система БО 001P-19	A+	99.99	17.5	2027-05-27	PUT	253	17.0428	18.3625	18.67	20	133969
RU000A0ZYR91	ГТЛК БО 001Р-08	AA-	95.39	11.32	2027-07-30	PUT	317	16.9984	18.0953	18.26	9	27605
RU000A10DMN0	реСтор 001Р-02	A-	101.68	18.85	2027-11-21	MATURITY	431	16.9204	18.6396	18.7	196	2140159
RU000A104693	АФК Система БО 001P-23	A+	99.92	17.5	2027-03-03	PUT	168	16.9	18.1584	18.86	34	460391
RU000A101Q26	АФК Система БО 001P-13	A+	99.45	16.0	2026-11-23	PUT	68	16.7524	18.0414	19.61	59	564366
RU000A10B024	АФК Система БО 002Р-01	A+	100.31	17.5	2027-04-20	PUT	216	16.6456	18.0376	18.32	907	7171061
RU000A10B0B0	Группа ЛСР ПАО БО 001Р-10	A	98.84	16.0	2028-02-24	PUT	526	16.6306	18.0556	18.29	424	3988003
RU000A105L27	АФК Система БО 001Р-24	A+	99.99	18.0	2026-12-07	PUT	82	16.6065	17.759	19.27	176	7922905
RU000A104V75	Почта России БО-002P-01	AA	96.15	11.4	2027-06-07	PUT	264	16.5515	17.6575	17.95	55	418089
RU000A10ATW2	Балтийский лизинг ООО БО-П15	AA-	95.97	23.7	2028-02-13	MATURITY	515	16.5395	33.8627	33.99	1263	13196691
RU000A10DZK8	Полипласт АО П02-БО-13	A	102.87	19.45	2027-12-16	MATURITY	456	16.4248	18.2074	18.26	412	3882494
RU000A0ZYNY4	ГосТранспортЛизингКомп 001P-07	AA-	98.25	11.7	2027-01-13	PUT	119	16.4014	17.7843	18.46	22	316389
RU000A10BY94	АФК Система БО 002Р-03	A+	102.3	21.5	2027-03-24	MATURITY	189	16.3545	18.0487	18.19	1220	53016987
RU000A1008J4	АФК Система БО 001P-10	A+	98.99	16.0	2027-03-31	PUT	196	16.3121	18.3119	18.85	83	1001718
RU000A10EK06	"Сэтл-Групп" ООО БО 002P-07	A-	100.15	16.5	2028-03-05	MATURITY	536	16.3038	17.6307	17.67	188	1899852
RU000A10AYF7	Новые технологии 001Р-04	A-	103.0	24.25	2027-02-19	MATURITY	156	16.2943	17.673	17.86	118	1294734
RU000A1089G0	ГИДРОМАШСЕРВИС АО 001Р-02	A	99.27	15.25	2027-03-31	CALL	196	16.2892	17.651	18.01	169	3175217
RU000A0ZYWU3	АФК Система БО 001P-08	A+	94.87	12.0	2028-02-23	MATURITY	525	16.2615	16.7409	16.77	66	111275
RU000A1043Z7	Биннофарм Групп 001Р-01	A-	99.51	15.0	2026-11-23	PUT	68	16.1932	17.3467	18.86	15	40839
RU000A10CCN3	О'КЕЙ ООО БО 001Р-08	A-	99.98	16.9	2027-02-09	PUT	146	16.1833	17.536	18.33	193	3198487
RU000A1089X5	РЖД ОАО ЗО28-1-Р	AAA	88.63	6.598	2028-03-02	MATURITY	533	16.1695	16.1927	16.21	5	444270
RU000A10BFK4	Новые технологии 001Р-05	A-	103.54	23.25	2027-04-08	MATURITY	204	16.1584	17.7553	17.89	89	521045
RU000A10DQ68	СелоЗеленое 001Р-02	A	100.96	17.25	2027-11-25	MATURITY	435	16.1306	17.5935	17.64	518	9351739
RU000A1003A4	ГТЛК БО 001P-13	AA-	97.41	9.57	2027-02-03	PUT	140	16.126	17.2497	17.72	24	355115
RU000A104W17	Почта России БО-002P-02	AA	100.53	17.5	2027-12-17	PUT	457	16.1192	17.4912	17.65	41	150712
RU000A10BPN7	Полипласт АО П02-БО-05	A	105.45	25.5	2027-05-19	MATURITY	245	16.1082	18.0975	18.22	509	9792681
RU000A10B3S8	Аэрофьюэлз-002Р-04	A	103.52	24.75	2027-03-19	MATURITY	184	16.087	18.3037	18.46	446	3591953
