event_date	event_type	name	isin	rating	coupon_pct	price_pct	price_source	current_face	nkd_rub	dirty_rub	days_to_event	simple_yield_pct	effective_xirr_pct	moex_yield_pct	maturity	put_date	put_price_pct	amortization_count	estimated_coupon_count	call_dates_ignored	unknown_offer_dates_ignored	num_trades	value_today
2027-01-08	MATURITY	СФО Социального развия 02	RU000A101UW4	NR	16.31	100.28	OFFER	101.49	3.22	104.9942	113	8.3551	15.4391	19.44	2027-01-08			2	0	[]	[]	1	405
2027-01-11	MATURITY	Банк ВТБ (ПАО) Б-1-255	RU000A103XT0	NR	0.01	103.0	OFFER	1000.0	0.02	1030.02	116	-9.1523	-8.8698	-9.4	2027-01-11			1	0	[]	["2027-01-11"]	0	0
2027-01-12	MATURITY	СберИОС 001Р-503R 5Г ТЕХ	RU000A1047L8	NR	0.01	98.0	OFFER	1000.0	0	980.0	117	6.5258	6.6716	0.0	2027-01-12			1	0	[]	[]	0	0
2027-01-13	PUT	Альфа-Банк АО обл. БО-18	RU000A0JX5W4	AA+	14.85	100.15	OFFER	1000.0	26.85	1028.35	118	13.7463	14.414	15.52	2032-01-05	2027-01-13	100.0	0	0	[]	[]	57	378909
2027-01-13	MATURITY	Банк ВТБ (ПАО) Б-1-247	RU000A103U28	NR	0.01	103.79	OFFER	1000.0	0.02	1037.92	118	-11.2861	-10.8608	22.79	2027-01-13			1	0	[]	[]	0	0
2027-01-13	PUT	ГосТранспортЛизингКомп 001P-07	RU000A0ZYNY4	AA-	11.7	98.38	OFFER	1000.0	22.12	1005.92	118	16.1192	17.4693	18.71	2032-12-31	2027-01-13	100.0	0	0	[]	[]	31	1480438
2027-01-15	MATURITY	СберИОС 001Р-506R 5Г GAZP	RU000A104AF5	AAA	0.01	97.85	OFFER	1000.0	0	978.5	120	6.7144	6.8668	0.0	2027-01-15			1	0	[]	[]	6	285141
2027-01-19	MATURITY	Аквилон-Лизинг БО-03-001P	RU000A107M32	NR	17.7	100.35	OFFER	200.0	5.63	206.33	124	11.1276	17.0965	18.81	2027-01-19			2	0	[]	[]	13	25426
2027-01-19	MATURITY	ПАО Абрау – Дюрсо 002P-01	RU000A10C6W2	A+	15.5	101.02	OFFER	1000.0	11.04	1021.24	124	12.2384	13.1496	14.03	2027-01-19			1	0	[]	[]	127	2162904
2027-01-19	PUT	Транспортная ЛК 001P-04	RU000A10CZ35	BB-	24.0	99.11	OFFER	1000.0	13.15	1004.25	124	21.8865	24.6448	30.56	2028-09-16	2027-01-19	100.0	0	0	[]	[]	18	56516
2027-01-20	MATURITY	БИЗНЕС АЛЬЯНС 001P-04	RU000A107QM0	BBB-	16.0	97.56	OFFER	1000.0	10.96	986.56	125	23.4385	26.1791	26.8	2027-01-20			1	0	[]	[]	80	724449
2027-01-21	MATURITY	РОЛЬФ БО 001Р-07	RU000A10ASE2	BBB+	26.0	102.92	OFFER	1000.0	17.1	1046.3	126	16.7641	18.6475	18.65	2027-01-21			1	0	[]	[]	211	5555164
2027-01-21	MATURITY	СберИОС 001Р-507R 5Г СШАМ ИНД	RU000A1049R1	NR	0.01	83.0	PREV/LAST FALLBACK	1000.0	0	830.0	126	59.5071	71.8088	0.0	2027-01-21			1	0	[]	[]	0	0
2027-01-21	MATURITY	Фордевинд 03	RU000A106Q47	BB+	16.0	99.59	OFFER	834.0	8.77	839.3506	126	9.546	19.9449	21.1	2027-01-21			5	0	[]	[]	22	412086
2027-01-22	MATURITY	СберИОС 001Р-510R 5Г IMOEX	RU000A104AH1	NR	0.01	101.48	OFFER	1000.0	0	1014.8	127	-4.1632	-4.1069	0.0	2027-01-22			1	0	[]	[]	0	0
2027-01-22	MATURITY	СберИОС 001Р-512R 5Г SBER	RU000A104CZ9	NR	0.01	111.95	PREV/LAST FALLBACK	1000.0	0	1119.5	127	-30.6527	-27.6849	0.0	2027-01-22			1	0	[]	[]	0	0
2027-01-22	MATURITY	СберИОС 001Р-514R 5Г NDX	RU000A104ES0	AAA	0.01	202.9	PREV/LAST FALLBACK	1000.0	0	2029.0	127	-145.7405	-86.9084	0.0	2027-01-22			1	0	[]	[]	0	0
2027-01-24	MATURITY	ГК Самолет БО-П13	RU000A107RZ0	A-	21.0	92.96	OFFER	1000.0	12.08	941.68	129	43.4538	52.2825	52.28	2027-01-24			1	0	[]	[]	3931	131802638
