secid	name	price	coupon	maturity	days	simple0	ytm
RU000A106WZ2	АПРИ БО-002Р-03	96.04	24.0	2027-09-14	363	29.047	294.55
RU000A104JQ3	ГК Самолет БО-П11	94.55	26.0	2028-02-08	510	28.9	45.62
RU000A10AFQ3	МИРРИКО БО-П02	86.6	18.5	2027-12-21	461	28.269	41.12
RU000A10CLX3	Уральская Сталь БО-001Р-05	89.07	18.5	2028-02-15	517	28.141	31.81
RU000A107W71	Солид-Лизинг БО-02	91.99	18.0	2027-08-27	345	27.424	32.63
RU000A10ATW2	Балтийский лизинг ООО БО-П15	95.97	23.7	2028-02-13	515	26.033	33.99
RU000A10ADD6	НСКАТД БО-02	102.35	29.0	2027-12-03	443	25.854	20.42
RU000A10CCG7	iКаршеринг Руссия 001P-07	94.15	18.25	2027-08-02	320	25.729	29.05
RU000A10CB66	ГК Сегежа 003P-06R	97.9	23.5	2028-01-25	496	24.678	28.51
RU000A10B7H2	Аптечная сеть 36,6 002P-02	99.82	24.5	2028-03-16	547	23.272	30.47
RU000A10B461	НСКАТД БО-03	103.08	26.0	2028-03-04	535	22.87	26.2
RU000A107SA1	ЛК Роделен БО 002P-02	92.37	16.0	2028-01-23	494	22.692	31.96
RU000A109NA8	СОЛИД СпецАвтоТехЛизинг 01	100.3	24.0	2028-03-10	541	22.025	26.38
RU000A10D1J9	ЭЛЕКТРОРЕШЕНИЯ 001Р-02	100.11	22.5	2027-09-27	376	21.348	24.82
RU000A10B313	Брусника 002Р-05	100.21	21.75	2028-03-03	534	21.241	23.85
RU000A10E6D0	ВУШ БО 001P-05	99.66	22.0	2028-01-19	490	21.173	24.72
RU000A109LC8	РОЛЬФ БО 001Р-03	96.58	17.0	2027-09-09	358	21.094	22.31
RU000A10B0R6	Кокс ПАО 001P-02	97.0	19.25	2028-02-19	521	21.071	24.01
RU000A10DBV6	Уралкуз 001Р-03	97.96	20.0	2027-10-21	400	21.06	24.5
RU000A10DA74	Эталон-Финанс 002Р-04	97.8	20.0	2027-11-11	421	20.656	24.58
RU000A10E6J7	Страна Девелопмент 002Р-02	102.17	25.25	2027-07-24	311	20.449	24.88
RU000A10ECY6	ЭЛЕКТРОРЕШЕНИЯ 001Р-03	100.91	23.5	2027-08-19	337	20.422	24.86
RU000A10C6M3	Уралкуз 001Р-01	98.29	20.0	2027-07-15	302	20.248	24.71
RU000A10AHD7	Кокс ПАО 001P-01	98.18	19.75	2027-12-11	451	20.003	23.68
RU000A102556	СЭЗ им. С.Орджоникидзе 001Р-02	92.99	10.75	2027-09-14	363	19.103	19.98
RU000A10B2P6	АйДи Коллект 001P-01	107.33	26.0	2028-02-27	529	18.87	22.09
RU000A10B3Q2	Биннофарм Групп 001Р-05	100.34	19.0	2028-03-05	536	18.525	0.0
RU000A10B0J3	ДельтаЛизинг 001P-02	105.17	24.0	2028-02-19	521	18.326	17.55
RU000A10E9Z7	МКАО Воксис 001Р-02	101.62	20.0	2028-02-03	505	18.285	20.35
RU000A10AC75	Томская область 34072	106.29	26.0	2027-12-12	452	17.833	16.39
RU000A106MW0	ПАО "ТГК-14" 001Р-02	94.65	12.85	2027-07-27	314	17.657	21.25
RU000A10AS28	Биннофарм Групп 001Р-04	101.19	19.0	2028-01-22	493	17.109	19.57
RU000A10E7K3	реСтор 001Р-03	101.49	18.75	2028-01-27	498	16.852	18.99
RU000A10A4N8	Интерлизинг 001Р-10	101.5	18.5	2027-11-07	417	16.777	16.56
RU000A107D33	ВИС ФИНАНС БО-П05	101.58	18.5	2027-12-09	449	16.655	17.66
RU000A10AYU6	МФК Мани Мен БО-01	109.45	26.5	2028-02-10	512	16.428	20.49
RU000A10EK06	"Сэтл-Групп" ООО БО 002P-07	100.15	16.5	2028-03-05	536	16.221	17.67
RU000A10DMN0	реСтор 001Р-02	101.68	18.85	2027-11-21	431	16.166	18.7
RU000A108Z77	Практика ЛК 001Р-03	99.48	16.6	2027-08-02	320	16.033	19.31
RU000A10C5L7	Селигдар 001Р-04	103.17	19.0	2028-01-08	479	16.028	17.58
RU000A10C6Z5	ЛЕГЕНДА БО 002Р-04	101.75	20.25	2027-07-18	305	15.994	19.53
RU000A10EAC6	КАМАЗ ПАО БО-П20	99.94	15.95	2028-02-06	508	15.926	17.23
