isin	name	matdate	security_offerdate	buybackprice	raw_offers
RU000A109S91	Россети Моск. регион 1Р07				[]
RU000A109TG2	Каршеринг Руссия 001P-04				[]
RU000A109VM6	КАМАЗ БО-П13				[]
RU000A1075S4	X5 Финанс 003Р-02				[]
RU000A109U97	ДОМ.РФ 002P-05				[]
RU000A109ZQ8	Россети 001P-14R				[]
RU000A10A349	РусГидро 002Р-01				[]
RU000A108G05	ЕвразХолдинг Финанс 003P-01				[]
RU000A10A7H3	СИБУР 001Р-02				[]
RU000A10AEB8	РусГидро 002Р-05				[]
RU000A107HG1	Газпром нефть 003P-08R				[]
RU000A10AFW1	Россети Московский регион 1Р08				[]
RU000A107DS5	МБЭС 002P-02				[]
RU000A108QA3	МегаФон 002P-04				[]
RU000A10AG22	ЭН+ Гидро 001РС-06				[]
RU000A107HR8	Авто Финанс Банк 001Р-11				[]
RU000A10AHP1	ВТБ Факторинг БО-01				[]
RU000A108WY1	Металлоинвест 001P-08				[]
RU000A10ASD4	РОЛЬФ 001Р-06				[]
RU000A10ASW4	КАМАЗ БО-П14				[]
RU000A107UW1	Газпром нефть 003P-10R				[]
RU000A108Q94	МегаФон 002P-05				[]
RU000A109JZ3	РУСАЛ 001P-10				[]
RU000A10B4D8	Металлоинвест 001P-13				[]
RU000A10B2X0	Синара ТМ 1P5				[]
RU000A108777	Балтийский лизинг БО-П10				[]
RU000A10BF48	Яндекс 001Р-01				[]
RU000A109SZ4	МегаФон 002P-07				[]
RU000A108GR8	Ростелеком 001P-07R				[]
RU000A10A7S0	Селектел 001P-05R				[]
RU000A108P61	Россети Моск. регион 1Р06				[]
RU000A108P46	Балтийский лизинг БО-П11				[]
RU000A108VW7	РУСАЛ 001P-09				[]
RU000A108RP9	Авто Финанс Банк 001Р-12				[]
RU000A10CUB0	Биннофарм 002Р-01				[]
RU000A108Y86	Европлан 001P-07				[]
RU000A109098	Группа Позитив 001Р-01				[]
RU000A1094F2	Черкизово 001Р-07				[]
RU000A1095L7	Самолет БО-П14				[]
RU000A10AA28	Акрон 001Р-06				[]
RU000A108Z77	Практика ЛК 001Р-03				[]
RU000A1095W4	Ростелеком 001P-09R				[]
RU000A1099A2	НоваБев Групп 002P-07				[]
RU000A1099V8	Совкомбанк Лизинг БО-П07				[]
RU000A109DV5	Интерлизинг 001Р-09				[]
RU000A109E71	ТрансКонтейнер П02-01				[]
RU000A109551	Балтийский лизинг БО-П12				[]
RU000A108LF3	Ростелеком 001P-08R				[]
RU000A109LC8	РОЛЬФ 001Р-03				[]
RU000A109JS8	Ростелеком 001P-11R				[]
RU000A109JW0	КАМАЗ БО-П12				[]
RU000A10CU55	АФК Система 002Р-05				[]
RU000A109KY4	Авто Финанс Банк 001Р-13				[]
RU000A109NF7	ЯТЭК 001Р-04				[]
RU000A109KX6	ВИС Финанс БО-П06				[]
RU000A109DT9	Росагролизинг 002P-03				[]
RU000A109UD7	Атомэнергопром 001Р-03				[]
RU000A109VL8	Совкомбанк БО-П05				[]
RU000A109XR1	Акрон 001Р-05				[]
RU000A109T41	Р-Вижн 001Р-01				[]
RU000A109TJ6	ПСБ 003P-09				[]
RU000A109R19	ГПБ Финанс 001Р-02Р				[]
RU000A10A4N8	Интерлизинг 001Р-10				[]
RU000A10A1N4	Альфа-Лизинг БО-02				[]
RU000A10A5H7	ГТЛК 002P-06				[]
RU000A10A7C4	Европлан 001P-08				[]
RU000A1079S6	Металлоинвест 001P-06				[]
RU000A10DPV6	АФК Система 002Р-07				[]
RU000A10AF64	Совком Секьюритиз 001Р-01				[]
RU000A10DY92	АЛРОСА 002Р-01				[]
