event_date	event_type	name	isin	rating_input	formula	scenario_coupon_rate_pct	price_pct	price_source	current_face	initial_face	nkd	clean_rub	dirty_rub	current_coupon_yield_pct	amortizations_to_event	put_offers	call_offers	maturity	settle_date	days	simple_yield_pct	xirr_pct	moex_yield_pct	profit_rub	note
2026-10-01	Погашение	Россети Моск. регион 1Р07	RU000A109S91	AAA	КС + 1.14 п.п.	15.14	100.09	OFFER	1000.0	1000.0	9.13	1000.9	1010.03	15.126386	[{"date":"2026-10-01","amount":1000.0}]	[]	[]	2026-10-01	2026-09-23	8	10.90376	11.505922	16.08	2.413836	1 куп. рассчитано по КС=14%+спред
2026-10-08	Погашение	Каршеринг Руссия 001P-04	RU000A109TG2	A+	КС + 3.00 п.п.	17.0	99.27	OFFER	1000.0	1000.0	6.99	992.7	999.69	17.125013	[{"date":"2026-10-08","amount":1000.0}]	[]	[]	2026-10-08	2026-09-23	15	34.765111	41.225972	41.08	14.282603	1 куп. рассчитано по КС=14%+спред
2026-10-15	Погашение	КАМАЗ БО-П13	RU000A109VM6	A	КС + 1.75 п.п.	15.75	100.01	OFFER	1000.0	1000.0	3.45	1000.1	1003.55	15.748425	[{"date":"2026-10-15","amount":1000.0}]	[]	[]	2026-10-15	2026-09-23	22	15.53236	16.719221	16.77	9.395205	1 куп. рассчитано по КС=14%+спред
2026-10-17	Погашение	X5 Финанс 003Р-02	RU000A1075S4	AAA	КС + 1.10 п.п.	15.1	100.06	OFFER	1000.0	1000.0	2.48	1000.6	1003.08	15.090945	[{"date":"2026-10-17","amount":1000.0}]	[]	[]	2026-10-17	2026-09-23	24	14.145806	15.119926	15.12	9.33	
2026-10-18	Погашение	ДОМ.РФ 002P-05	RU000A109U97	AAA	КС + 1.25 п.п.	15.25	100.05	OFFER	1000.0	1000.0	2.09	1000.5	1002.59	15.242379	[{"date":"2026-10-18","amount":1000.0}]	[]	[]	2026-10-18	2026-09-23	25	14.47491	15.492599	15.32	9.94	
2026-10-22	Погашение	Россети 001P-14R	RU000A109ZQ8	AAA	КС + 1.20 п.п.	15.2	100.15	OFFER	1000.0	1000.0	0.42	1001.5	1001.92	15.177234	[{"date":"2026-10-22","amount":1000.0}]	[]	[]	2026-10-22	2026-09-23	29	13.282085	14.125087	14.98	10.573151	1 куп. рассчитано по КС=14%+спред
2026-11-04	Погашение	РусГидро 002Р-01	RU000A10A349	AAA	КС + 2.00 п.п.	16.0	100.2	OFFER	1000.0	1000.0	7.89	1002.0	1009.89	15.968064	[{"date":"2026-11-04","amount":1000.0}]	[]	[]	2026-11-04	2026-09-23	42	14.122589	15.187636	15.23	16.41137	2 куп. рассчитано по КС=14%+спред
2026-11-07	Погашение	ЕвразХолдинг Финанс 003P-01	RU000A108G05	AA+	КС + 1.30 п.п.	15.3	100.02	OFFER	1000.0	1000.0	6.29	1000.2	1006.49	15.296941	[{"date":"2026-11-07","amount":1000.0}]	[]	[]	2026-11-07	2026-09-23	45	15.03829	16.211545	16.14	18.660685	2 куп. рассчитано по КС=14%+спред
2026-11-23	Погашение	СИБУР 001Р-02	RU000A10A7H3	AAA	КС + 2.10 п.п.	16.1	100.34	OFFER	1000.0	1000.0	12.79	1003.4	1016.19	16.045445	[{"date":"2026-11-23","amount":1000.0}]	[]	[]	2026-11-23	2026-09-23	61	13.840835	14.967029	14.66	23.505753	2 куп. рассчитано по КС=14%+спред
2026-12-09	Погашение	РусГидро 002Р-05	RU000A10AEB8	AAA	КС + 2.75 п.п.	16.75	100.69	OFFER	1000.0	1000.0	5.97	1006.9	1012.87	16.635217	[{"date":"2026-12-09","amount":1000.0}]	[]	[]	2026-12-09	2026-09-23	77	13.30596	14.25982	13.93	28.43137	3 куп. рассчитано по КС=14%+спред
2026-12-12	Погашение	Газпром нефть 003P-08R	RU000A107HG1	AAA	КС + 1.30 п.п.	15.3	100.23	OFFER	1000.0	1000.0	4.19	1002.3	1006.49	15.264891	[{"date":"2026-12-12","amount":1000.0}]	[]	[]	2026-12-12	2026-09-23	80	14.159542	15.187217	15.23	31.236027	3 куп. рассчитано по КС=14%+спред
2026-12-14	Погашение	Россети Московский регион 1Р08	RU000A10AFW1	AAA	КС + 2.90 п.п.	16.9	100.6	OFFER	1000.0	1000.0	3.7	1006.0	1009.7	16.799205	[{"date":"2026-12-14","amount":1000.0}]	[]	[]	2026-12-14	2026-09-23	82	14.094382	15.123954	14.95	31.971233	3 куп. рассчитано по КС=14%+спред
2026-12-14	Погашение	МБЭС 002P-02	RU000A107DS5	AAA	КС + 2.50 п.п.	16.5	100.29	OFFER	1000.0	1000.0	45.62	1002.9	1048.52	16.452288	[{"date":"2026-12-14","amount":1000.0}]	[]	[]	2026-12-14	2026-09-23	82	14.329373	15.146565	15.79	33.753973	1 куп. рассчитано по КС=14%+спред
2026-12-15	Погашение	МегаФон 002P-04	RU000A108QA3	AAA	КС + 1.10 п.п.	15.1	100.1	OFFER	1000.0	1000.0	3.31	1001.0	1004.31	15.084915	[{"date":"2026-12-15","amount":1000.0}]	[]	[]	2026-12-15	2026-09-23	83	14.597147	15.442354	15.27	33.336575	1 куп. рассчитано по КС=14%+спред
2026-12-15	Погашение	ЭН+ Гидро 001РС-06	RU000A10AG22	A+	КС + 5.00 п.п.	19.0	101.2	OFFER	1000.0	1000.0	3.64	1012.0	1015.64	18.774704	[{"date":"2026-12-15","amount":1000.0}]	[]	[]	2026-12-15	2026-09-23	83	13.513231	14.48873	13.72	31.209315	3 куп. рассчитано по КС=14%+спред
2026-12-24	Погашение	Авто Финанс Банк 001Р-11	RU000A107HR8	AA	КС + 2.50 п.п.	16.5	100.33	OFFER	1000.0	1000.0	41.92	1003.3	1045.22	16.445729	[{"date":"2026-12-24","amount":1000.0}]	[]	[]	2026-12-24	2026-09-23	92	14.537713	16.024446	16.44	38.3	
2026-12-25	Погашение	ВТБ Факторинг БО-01	RU000A10AHP1	AA	КС + 2.15 п.п.	16.15	100.5	OFFER	1000.0	1000.0	10.18	1005.0	1015.18	16.069652	[{"date":"2026-12-25","amount":1000.0}]	[]	[]	2026-12-25	2026-09-23	93	13.974215	15.091179	14.91	36.146027	4 куп. рассчитано по КС=14%+спред
2027-01-01	Погашение	Металлоинвест 001P-08	RU000A108WY1	AAA	КС + 1.05 п.п.	15.05	99.85	OFFER	1000.0	1000.0	34.0	998.5	1032.5	15.072609	[{"date":"2027-01-01","amount":1000.0}]	[]	[]	2027-01-01	2026-09-23	100	15.039709	16.451927	16.32	42.543836	2 куп. рассчитано по КС=14%+спред
2027-01-21	Погашение	РОЛЬФ 001Р-06	RU000A10ASD4	A	КС + 6.00 п.п.	20.0	101.2	OFFER	1000.0	1000.0	0.0	1012.0	1012.0	19.762846	[{"date":"2027-01-21","amount":1000.0}]	[]	[]	2027-01-21	2026-09-23	120	16.156621	17.492841	17.15	53.755068	3 куп. рассчитано по КС=14%+спред
2027-01-25	Погашение	КАМАЗ БО-П14	RU000A10ASW4	A	КС + 3.40 п.п.	17.4	100.5	OFFER	1000.0	1000.0	12.39	1005.0	1017.39	17.313433	[{"date":"2027-01-25","amount":1000.0}]	[]	[]	2027-01-25	2026-09-23	124	15.65688	17.085706	16.81	54.115479	4 куп. рассчитано по КС=14%+спред
